Player ID,Full Name
8484153,Leo Carlsson
8477952,Robby Fabbri
8483445,Cutter Gauthier
8477527,Ross Johnston
8473986,Alex Killorn
8481517,Brett Leason
8480806,Isac Lundestrom
8476934,Brock McGinn
8482745,Mason McTavish
8476458,Ryan Strome
8478873,Troy Terry
8478366,Frank Vatrano
8481533,Trevor Zegras
8475208,Brian Dumoulin
8475764,Cam Fowler
8475462,Radko Gudas
8481605,Jackson LaCombe
8483482,Tristan Luneau
8483490,Pavel Mintyukov
8480001,Urho Vaakanainen
8482803,Olen Zellweger
8480843,Lukas Dostal
8476434,John Gibson
8473503,James Reimer
8479619,Michael Carcone
8483431,Logan Cooley
8478474,Lawson Crouse
8482659,Josh Doan
8482699,Dylan Guenther
8480849,Barrett Hayton
8479343,Clayton Keller
8477021,Alex Kerfoot
8481711,Matias Maccelli
8480855,Jack McBain
8477070,Liam O'Brien
8477951,Nick Schmaltz
8478831,Kevin Stenlund
8479977,Kailer Yamamoto
8474145,Robert Bortuzzo
8474013,Ian Cole
8480434,Sean Durzi
8480891,Michael Kesselring
8481609,Vladislav Kolyachonok
8479410,Mikhail Sergachev
8479976,Juuso Valimaki
8478971,Connor Ingram
8478872,Karel Vejmelka
8481556,John Beecher
8479638,Justin Brazeau
8475745,Charlie Coyle
8479365,Trent Frederic
8479987,Morgan Geekie
8479368,Max Jones
8480355,Mark Kastelic
8481043,Cole Koepke
8477496,Elias Lindholm
8473419,Brad Marchand
8477956,David Pastrnak
8479362,Riley Tufte
8478401,Pavel Zacha
8478443,Brandon Carlo
8476854,Hampus Lindholm
8482511,Mason Lohrei
8479325,Charlie McAvoy
8479369,Andrew Peeke
8478450,Parker Wotherspoon
8477507,Nikita Zadorov
8476914,Joonas Korpisalo
8480280,Jeremy Swayman
8477979,Nicolas Aube-Kubel
8484145,Zach Benson
8481528,Dylan Cozens
8478413,Jordan Greenway
8481522,Peyton Krebs
8483468,Jiri Kulich
8478043,Sam Lafferty
8479359,Beck Malenstyn
8480802,Ryan McLeod
8482175,JJ Peterka
8482097,Jack Quinn
8479420,Tage Thompson
8477949,Alex Tuch
8475722,Jason Zucker
8480196,Jacob Bryson
8481524,Bowen Byram
8477365,Connor Clifton
8480839,Rasmus Dahlin
8478502,Dennis Gilbert
8480035,Henri Jokiharju
8482671,Owen Power
8480807,Mattias Samuelsson
8482221,Devon Levi
8480045,Ukko-Pekka Luukkonen
8474150,Mikael Backlund
8476399,Blake Coleman
8482679,Matt Coronato
8484180,Samuel Honzek
8476456,Jonathan Huberdeau
8475172,Nazem Kadri
8483609,Adam Klapka
8483808,Andrei Kuzmenko
8479066,Ryan Lomberg
8477511,Anthony Mantha
8481028,Martin Pospisil
8479291,Kevin Rooney
8481068,Yegor Sharangovich
8482074,Connor Zary
8478397,Rasmus Andersson
8480860,Kevin Bahl
8475197,Tyson Barrie
8479402,Jake Bean
8477810,Joel Hanley
8482624,Daniil Miromanov
8481167,Brayden Pachal
8477346,MacKenzie Weegar
8478435,Dan Vladar
8481692,Dustin Wolf
8478427,Sebastian Aho
8482809,Jackson Blake
8477478,William Carrier
8480835,Jack Drury
8482093,Seth Jarvis
8479370,Tyson Jost
8480829,Jesperi Kotkaniemi
8477962,Brendan Lemieux
8476921,Jordan Martinook
8480039,Martin Necas
8480762,Eric Robinson
8478458,Jack Roslovic
8473533,Jordan Staal
8480830,Andrei Svechnikov
8470613,Brent Burns
8478970,Jalen Chatfield
8476906,Shayne Gostisbehere
8475200,Dmitry Orlov
8476958,Jaccob Slavin
8479388,Riley Stillman
8480336,Sean Walker
8475883,Frederik Andersen
8481611,Pyotr Kochetkov
8479315,Joey Anderson
8476960,Andreas Athanasiou
8484144,Connor Bedard
8477479,Tyler Bertuzzi
8477450,Jason Dickinson
8477987,Ryan Donato
8473422,Nick Foligno
8475791,Taylor Hall
8480798,Philipp Kurashev
8474034,Patrick Maroon
8481624,Ilya Mikheyev
8483493,Frank Nazar
8482117,Lukas Reichel
8482172,Landon Slaggert
8475225,Craig Smith
8476882,Teuvo Teravainen
8482700,Nolan Allan
8474673,TJ Brodie
8477495,Seth Jones
8482176,Wyatt Kaiser
8474166,Alec Martinez
8476473,Connor Murphy
8482192,Isaak Phillips
8481568,Alex Vlasic
8475852,Petr Mrazek
8482821,Arvid Soderblom
8479525,Ross Colton
8484846,Maxmilian Curran
8477494,Jonathan Drouin
8483930,Ivan Ivan
8480448,Parker Kelly
8481641,Joel Kiviranta
8481042,Nikolai Kovalenko
8477492,Nathan MacKinnon
8479999,Casey Mittelstadt
8481186,Logan O'Connor
8478420,Mikko Rantanen
8484221,Calum Ritchie
8477425,Miles Wood
8475177,Calvin de Haan
8479398,Samuel Girard
8478430,Oliver Kylington
8481206,John Ludvig
8480069,Cale Makar
8484258,Sam Malinski
8476312,Josh Manson
8477359,Tucker Poolman
8478038,Devon Toews
8481020,Justus Annunen
8480382,Alexandar Georgiev
8479944,Zach Aston-Reese
8484149,Gavin Brindley
8482475,Yegor Chinakhov
8484166,Adam Fantilli
8479580,Dylan Gambrell
8476432,Boone Jenner
8482660,Kent Johnson
8476374,Sean Kuraly
8478099,Kevin Labanc
8480893,Kirill Marchenko
8477497,Sean Monahan
8479671,Mathieu Olivier
8482451,Mikael Pyyhtia
8482705,Cole Sillinger
8474037,James van Riemsdyk
8481716,Dmitri Voronkov
8481161,Jake Christiansen
8475790,Erik Gudbranson
8480887,Jordan Harris
8483460,David Jiricek
8471677,Jack Johnson
8478500,Ivan Provorov
8476923,Damon Severson
8478460,Zach Werenski
8478007,Elvis Merzlikins
8480193,Daniil Tarasov
8473994,Jamie Benn
8476278,Colin Blackwell
8482145,Mavrik Bourque
8480840,Oskar B�ck
8474149,Evgenii Dadonov
8475168,Matt Duchene
8478449,Roope Hintz
8482740,Wyatt Johnston
8478975,Mason Marchment
8480027,Jason Robertson
8475794,Tyler Seguin
8482702,Logan Stankoven
8479351,Sam Steel
8476856,Mathew Dumba
8481581,Thomas Harley
8480036,Miro Heiskanen
8476902,Esa Lindell
8480878,Nils Lundkvist
8480950,Ilya Lyubushkin
8474090,Brendan Smith
8479193,Casey DeSmith
8479979,Jake Oettinger
8481013,Jonatan Berggren
8477456,J.T. Compher
8477429,Andrew Copp
8479337,Alex DeBrincat
8478432,Christian Fischer
8474141,Patrick Kane
8477946,Dylan Larkin
8477353,Tyler Motte
8479992,Michael Rasmussen
8482078,Lucas Raymond
8475765,Vladimir Tarasenko
8480813,Joe Veleno
8475279,Ben Chiarot
8482762,Simon Edvinsson
8476979,Erik Gustafsson
8481607,Albert Johansson
8476874,Olli Maatta
8473507,Jeff Petry
8481542,Moritz Seider
8478024,Ville Husso
8479312,Alex Lyon
8475660,Cam Talbot
8478042,Viktor Arvidsson
8477015,Connor Brown
8477934,Leon Draisaitl
8474641,Adam Henrique
8475786,Zach Hyman
8477406,Mattias Janmark
8478402,Connor McDavid
8476454,Ryan Nugent-Hopkins
8470621,Corey Perry
8481617,Vasily Podkolzin
8478585,Derek Ryan
8475784,Jeff Skinner
8480803,Evan Bouchard
8478408,Travis Dermott
8475218,Mattias Ekholm
8480834,Ty Emberson
8476967,Brett Kulak
8477498,Darnell Nurse
8479442,Troy Stecher
8475717,Calvin Pickard
8479973,Stuart Skinner
8477493,Aleksander Barkov
8477935,Sam Bennett
8480003,Jesper Boqvist
8479981,Jonah Gadjovich
8478421,A.J. Greer
8482113,Anton Lundell
8480185,Eetu Luostarinen
8477931,Tomas Nosek
8477933,Sam Reinhart
8478542,Evan Rodrigues
8482713,Mackie Samoskevich
8479314,Matthew Tkachuk
8477409,Carter Verhaeghe
8484304,Uvis Balinskis
8480871,Adam Boqvist
8477932,Aaron Ekblad
8478055,Gustav Forsling
8475179,Dmitry Kulikov
8478859,Niko Mikkola
8477220,Nate Schmidt
8475683,Sergei Bobrovsky
8481519,Spencer Knight
8482124,Quinton Byfield
